Username,Total Level,Total EXP,Attack Level,Attack Exp,Defence Level,Defence EXP,Strength Level,Strength EXP,Hitpoints Level,Hitpoints EXP,Ranged Level,Ranged EXP,Prayer Level,Prayer EXP,Magic Level,Magic EXP,Cooking Level,Cooking EXP,Woodcutting Level,Woodcutting EXP,Fletching Level,Fletching EXP,Fishing Level,Fishing EXP,Firemaking Level,Firemaking EXP,Crafting Level,Crafting EXP,Smithing Level,Smithing EXP,Mining Level,Mining EXP,Herblore Level,Herblore EXP,Agility Level,Agility EXP,Thieving Level,Thieving EXP,Slayer Level,Slayer EXP,Farming Level,Farming EXP,Runecrafting Level,Runecrafting EXP,Hunter Level,Hunter EXP,Construction Level,Construction EXP,League Points,Bounter Hunter - Hunter,Bountry Hunter - Rogue,Clue Scrolls (all),Clue Scrolls (beginner),Clue Scrolls (easy),Clue Scrolls (medium),Clue Scrolls (hard),Clue Scrolls (elite),Clue Scrolls (master),LMS - Rank,Soul Wars Zeal,PVP Arena - Rank,Guardians of the Rift - Rifts Closed,Abyssal Sire,Alchemical Hydra,Barrows Chests,Bryophyta,Callisto,Cerberus,Chambers of Xeric,Chambers of Xeric: Challenge Mode,Chaos Elemental,Chaos Fanatic,Commander Zilyana,Corporeal Beast,Crazy Archaeologist,Dagannoth Prime,Dagannoth Rex,Dagannoth Supreme,Deranged Archaeologist,General Graardor,Giant Mole,Grotesque Guardians,Hespori,Kalphite Queen,King Black Dragon,Kraken,Kree'Arra,K'ril Tsutsaroth,Mimic,Nex,Nightmare,Phosani's Nightmare,Obor,Phantom Muspah,Sarachnis,Scorpia,Skotizo,Tempoross,The Gauntlet,The Corrupted Gauntlet,Theatre of Blood,Theatre of Blood: Hard Mode,Thermonuclear Smoke Devil,Tombs of Amascut,Tombs of Amascut: Expert Mode,TzKal-Zuk,TzTok-Jad,Venenatis,Vet'ion,Vorkath,Wintertodt,Zalcano,Zulrah,Time
Kobenaa,2277,499094174,99,15297427,99,16875295,99,47933856,99,66511347,99,78629854,99,13052470,99,35367787,99,15397013,99,13058052,99,13184917,99,13431862,99,13039681,99,14315462,99,13111511,99,13297944,99,16227562,99,13084522,99,16638300,99,15050256,99,14335902,99,13450974,99,14726860,99,13075320,-1,-1,-1,841,4,218,151,273,107,88,-1,-1,-1,203,574,1316,216,33,-1,658,516,222,358,54,372,45,47,228,287,231,-1,953,829,80,76,155,1761,632,240,470,11,507,44,-1,6,262,538,77,38,65,58,1458,450,-1,533,222,194,6,13,174,-1,769,247,162,1663,"3/26/2023, 12:01:03 AM"
Lordcardhock ,2243,423207974,99,21402931,99,17099625,99,25985372,99,48151645,99,54447393,99,13045193,99,33042659,99,16228018,99,15394726,99,13333821,99,16186684,99,17957778,99,13373038,99,13315466,99,13056479,99,13226508,90,5627940,99,19000466,99,18282969,99,13113813,88,4474037,99,14126686,85,3334727,-1,-1,-1,27,3,5,15,2,2,-1,-1,-1,2378,325,-1,2080,162,13,-1,2051,408,5,761,-1,108,40,600,891,903,918,50,413,503,173,88,69,374,3423,57,-1,-1,610,62,-1,6,126,253,145,49,104,-1,7,-1,-1,1255,-1,-1,-1,43,-1,-1,703,711,-1,1356,"3/26/2023, 12:01:05 AM"
maior ratio,2219,326184880,99,18945429,99,14476198,99,18589226,99,34397844,99,39376263,99,14444587,99,18473135,99,13643616,99,13246697,99,13816821,99,13086565,99,14215292,99,13476863,90,5734549,90,5373937,99,13425521,93,7408869,99,13350500,99,13037409,99,14198356,86,3692661,86,3707219,91,6067323,-1,-1,-1,365,14,24,296,21,8,2,500,-1,-1,193,86,390,198,-1,-1,-1,464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,1171,-1,-1,1000,-1,3925,-1,-1,-1,-1,-1,-1,-1,56,239,-1,47,-1,-1,-1,-1,-1,342,-1,-1,-1,53,-1,-1,550,504,-1,2613,"3/26/2023, 12:01:06 AM"
Mas3,2078,325050464,99,19736702,99,19913313,99,45521197,99,63516196,99,57144130,90,5515534,99,32856258,89,5186863,85,3414337,91,6212077,87,4087141,87,4240131,94,8408233,90,5811994,83,2920662,91,6127776,81,2255927,79,1824536,91,6437998,99,14770708,81,2301444,76,1378636,90,5468671,-1,-1,-1,460,8,1,138,226,67,20,-1,-1,-1,229,197,-1,337,5,89,289,447,167,-1,-1,73,199,-1,132,148,102,-1,597,209,64,54,62,180,1005,144,136,1,-1,-1,-1,5,-1,77,-1,24,42,138,150,40,-1,-1,240,525,-1,-1,-1,49,703,164,65,849,"3/26/2023, 12:01:08 AM"
MrsWllw,2089,186220862,93,7597522,92,7039066,98,12626928,99,20387365,99,19063774,82,2509855,99,13650581,99,16786172,90,5606877,87,4194012,90,5379278,93,7299264,84,2965617,84,3054850,81,2365984,90,5611089,83,2771316,92,6969587,99,13127976,99,15039152,80,2098802,93,7354886,83,2720909,-1,-1,-1,669,156,114,205,145,32,17,-1,-1,-1,-1,-1,957,173,13,-1,-1,110,-1,-1,62,-1,-1,78,-1,-1,-1,245,341,2825,425,98,-1,666,8268,-1,136,1,-1,-1,-1,58,-1,237,-1,7,135,-1,-1,-1,-1,1989,-1,-1,-1,-1,-1,-1,477,254,200,223,"3/26/2023, 12:01:10 AM"
not2fly,1806,149596307,99,25869557,99,14982585,99,17505377,99,30563676,99,25100454,80,2003101,98,12701953,72,956426,81,2378518,50,101367,62,367938,62,354762,73,1039828,72,990852,73,997732,72,901234,73,1029322,65,466515,91,6051083,70,806419,57,206230,78,1774683,82,2446695,-1,-1,-1,67,-1,-1,4,48,15,-1,646,-1,-1,-1,-1,-1,160,-1,67,-1,-1,-1,-1,-1,110,-1,-1,-1,-1,-1,-1,391,-1,-1,-1,59,-1,2089,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,438,-1,-1,-1,74,122,-1,-1,-1,-1,50,-1,-1,1289,"3/26/2023, 12:01:12 AM"
Odd_mobile,1478,15987460,75,1217323,70,745851,80,2169893,79,1924856,75,1280930,55,182505,69,732773,73,1048146,74,1192178,55,177044,74,1181487,50,102031,62,361808,53,148634,67,558263,57,220914,58,247122,53,139377,62,349649,74,1097677,62,357976,66,527347,35,23676,-1,-1,-1,53,17,13,8,15,-1,-1,591,-1,-1,59,-1,-1,171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"3/26/2023, 12:01:13 AM"
OJdaInnocent,2093,252871010,99,17328646,99,15889716,99,16958421,99,38238044,99,37430406,90,5681977,99,22944961,99,14329508,86,3673670,91,6076045,90,5346912,70,809562,87,4276151,82,2497222,87,4272344,90,5901824,84,2968510,81,2320470,99,15188365,99,15185468,94,8438813,88,4573704,82,2540271,-1,-1,-1,360,8,12,103,216,18,3,-1,-1,1468,211,476,401,210,-1,-1,2208,296,-1,-1,-1,266,-1,-1,414,389,370,-1,403,673,-1,129,76,63,424,356,205,1,39,-1,-1,-1,56,-1,-1,58,152,123,344,-1,-1,383,248,112,1,9,236,122,291,-1,80,661,"3/26/2023, 12:01:15 AM"
Plssmissile,1881,100342781,92,6746030,92,6543849,92,6630234,99,16259026,97,11241914,79,1985608,99,15459007,88,4681320,72,956478,68,636376,78,1694773,84,3011917,90,5442385,75,1239602,77,1620093,72,988850,75,1322911,76,1361270,95,8828813,78,1734479,61,311141,71,825847,71,820858,-1,-1,-1,221,9,4,147,57,4,-1,501,-1,393,34,82,-1,1088,-1,-1,283,-1,-1,-1,-1,-1,-1,40,97,133,71,-1,-1,-1,-1,11,-1,150,1218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,122,104,154,-1,-1,341,-1,-1,-1,21,-1,-1,37,53,-1,523,"3/26/2023, 12:01:17 AM"
Quinninho,2231,401780592,99,26775459,99,24804850,99,31622874,99,49568267,99,37599150,99,13117580,99,25632105,99,13406024,95,9193808,99,13382988,92,7072265,94,8076757,99,13816632,92,6879920,92,6575699,99,14825124,93,7232471,99,16156293,99,18702867,99,26190894,91,6453966,97,11540726,99,13153873,-1,5,-1,1332,28,332,201,536,171,64,-1,-1,-1,213,247,1039,562,5,50,578,505,12,53,95,113,90,163,259,316,261,50,387,274,100,148,194,147,2404,789,293,9,-1,-1,1,5,75,345,35,75,73,-1,197,479,-1,193,56,75,-1,19,53,-1,789,343,552,1877,"3/26/2023, 12:01:19 AM"
Scoob x,1831,67974122,84,3124923,81,2282952,93,7227477,95,9628768,86,3911003,77,1480722,96,9939288,72,921987,75,1271902,65,466884,82,2574447,86,3804952,86,3598607,72,922887,76,1399946,78,1666417,74,1106560,68,608713,89,5108861,83,2728609,55,175570,75,1320165,83,2702482,-1,-1,-1,261,42,44,86,81,6,2,-1,-1,-1,13,35,-1,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,-1,-1,-1,-1,-1,25,-1,-1,445,-1,-1,-1,-1,-1,-1,-1,-1,36,-1,13,139,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,"3/26/2023, 12:01:20 AM"
smallblue0,2027,145073203,90,5757299,90,5656006,94,8576887,99,16135805,99,17426829,80,2139746,96,10665965,99,13060342,85,3563441,90,5346395,81,2292790,90,5804369,80,2020823,86,3641362,76,1435456,85,3292894,85,3376090,86,3650779,97,10935646,99,13564770,81,2368101,75,1301174,84,3060234,-1,-1,-1,132,18,63,15,29,5,2,500,-1,-1,130,-1,69,65,-1,-1,161,-1,-1,-1,-1,-1,-1,-1,63,181,76,-1,-1,-1,-1,22,-1,-1,3056,-1,-1,-1,-1,-1,-1,-1,74,-1,-1,37,-1,47,20,-1,-1,503,42,-1,-1,13,-1,-1,640,247,411,571,"3/26/2023, 12:01:22 AM"
